unique_id,ds,y
world_bank_pink_sheet_monthly_arabica,1994-10-01,4.45
world_bank_pink_sheet_monthly_arabica,1994-11-01,4.03
world_bank_pink_sheet_monthly_arabica,1994-12-01,3.72
world_bank_pink_sheet_monthly_arabica,1995-01-01,3.81
world_bank_pink_sheet_monthly_arabica,1995-02-01,3.74
world_bank_pink_sheet_monthly_arabica,1995-03-01,3.96
world_bank_pink_sheet_monthly_arabica,1995-04-01,3.84
world_bank_pink_sheet_monthly_arabica,1995-05-01,3.77
world_bank_pink_sheet_monthly_arabica,1995-06-01,3.41
world_bank_pink_sheet_monthly_arabica,1995-07-01,3.21
world_bank_pink_sheet_monthly_arabica,1995-08-01,3.38
world_bank_pink_sheet_monthly_arabica,1995-09-01,2.96
world_bank_pink_sheet_monthly_arabica,1995-10-01,2.81
world_bank_pink_sheet_monthly_arabica,1995-11-01,2.76
world_bank_pink_sheet_monthly_arabica,1995-12-01,2.34
world_bank_pink_sheet_monthly_arabica,1996-01-01,2.44
world_bank_pink_sheet_monthly_arabica,1996-02-01,2.74
world_bank_pink_sheet_monthly_arabica,1996-03-01,2.66
world_bank_pink_sheet_monthly_arabica,1996-04-01,2.72
world_bank_pink_sheet_monthly_arabica,1996-05-01,2.85
world_bank_pink_sheet_monthly_arabica,1996-06-01,2.77
world_bank_pink_sheet_monthly_arabica,1996-07-01,2.7
world_bank_pink_sheet_monthly_arabica,1996-08-01,2.78
world_bank_pink_sheet_monthly_arabica,1996-09-01,2.62
world_bank_pink_sheet_monthly_arabica,1996-10-01,2.74
world_bank_pink_sheet_monthly_arabica,1996-11-01,2.74
world_bank_pink_sheet_monthly_arabica,1996-12-01,2.58
world_bank_pink_sheet_monthly_arabica,1997-01-01,2.93
world_bank_pink_sheet_monthly_arabica,1997-02-01,3.71
world_bank_pink_sheet_monthly_arabica,1997-03-01,4.29
world_bank_pink_sheet_monthly_arabica,1997-04-01,4.56
world_bank_pink_sheet_monthly_arabica,1997-05-01,5.89
world_bank_pink_sheet_monthly_arabica,1997-06-01,4.89
